leverancierID,leverancierNaam
"de8d52a5-6190-4dd7-9922-3a7b17049db1",Hulpmiddelwereld
"21b8538b-6096-4d97-8e70-4e69d3a6f880",Tinybots
"79ca2e97-5b62-4b3a-9899-40e3d6d50e76",Avium Wearables
"26eb5e6e-67db-4d60-8c6a-4e014f7b6d14",LifeWatcher
"45d11c35-7c74-445b-942a-8ff9e8d81e38",Leddirect
"259a92a3-370a-4c57-a7c2-88c5c89d8dd8",Able2
"6e10d8b4-0f53-4c84-8ef8-5b8a6148a1ae",Smartrobot solutions
"d9d7cb7d-7e70-4d7e-a0ae-78b8c8e5a1dd",Slide
"45e22d68-9632-42b9-83ad-6ff5a4e577b0",2Mobility B.V.
"82112351-03a7-40cd-9b8d-2b716b2bfae4",ZorgRobotics
"dbf23ea2-bd2c-4af7-b53a-c2b9a2ed84be",MediSafe
"3584d07c-13b6-46d9-a2f3-1f3697486a5c",EasyLiving
"1824d676-d45c-4e0c-8e74-8507d74b0e7b",AssistCare
"41a64a15-233b-4b57-a21e-c9de10211c9d",ComfortPlus
"5e76a746-826d-4767-ba9f-2e7a2f2d4d2b",HealthTech
"dcf7d82b-2c36-49f5-99a3-5c055cf26b06",ActiveLife
"cf1f428a-992f-40a4-b891-d0945da2e3a6",WellnessTech
"063ed54e-362f-48a5-8a0c-692d7eb5a57e",CareAssist
"abacbb6d-89f6-42d9-87e0-8d01f7e9bb59",HomeSupport
"853f4f2d-53df-4f10-bc5c-20f2636e5e64",SeniorTech
