organisatieID,organisatieNaam
"9b7142a1-583f-4b6f-8c79-3421a6c4a5e5",WarmThuis
"fa06b8d2-828d-47c2-a049-0b943dbbcfa9",voorElkaar
"29e9d63d-04ed-4d7f-953b-1b5db86bc6c1",Bartholomeus Gasthuis
"1e23b6c2-72a3-44c5-aecd-0c791f6022b9",Opella
"9e7df8c9-4fb2-4f8b-8da2-5c6826be3a8f",De Zorgspecialist
"2fc7c3ad-8e81-4f9c-9b33-2465b2c3cc3b",Zinzia Zorggroep
"cc7e1412-b4b7-4dbb-aef3-84d8f7e449c7",Stichting Zorggroep Oude en Nieuwe Land
"1dcfd55b-7b5e-431a-8753-6a7e66b0b8ff",Careyn
"08d8c930-29db-4a48-aa79-b0294f09074a",Philadelphia Zorg
"8b5f14d4-dac9-4c44-a9b6-6e2e8f15fd4b",Talisman Care Group
