aanbevelingID,aanbeveling,datum,productID,zorgprofessionalID
1,Interactieve Robot Kat tegen eenzaamheid,10/10/2022,2,1
2,Assist Alarmhorloge voor veiligheid,02/22/2023,4,9
3,Robot kat voor vermaak,04/20/2023,2,7
4,LifeWatcher Senior voor tijdbesef,02/17/2022,5,1
5,MediMemo Medicijnherinneringssysteem,11/28/2022,7,3
6,VoiceCom Communicatiesysteem,03/15/2023,9,5
7,MobilityMaster Rollator,05/02/2023,1,7
8,WanderGuard GPS-trackingsysteem,01/12/2022,4,2
9,LifeSupport Gezondheidsmonitor,06/08/2022,6,1
10,PainRelief Pijnmanagement-apparaat,09/17/2022,4,4
11,EntertainmentConsole voor mentale stimulatie,07/25/2022,2,5
12,RehabBuddy Therapieondersteuning,08/30/2023,9,7
13,SocialConnect Sociale interactie-app,12/01/2023,1,3
14,SelfCare Toolkit voor zelfzorg,03/10/2022,5,10
15,MindfulMaster Meditatiegids,05/05/2022,10,8
