aanbevelingID,zorgprofessionalID,clientID,productID
1,1,1,2
2,2,2,7
3,3,3,4
4,4,4,4
5,5,5,9
6,6,6,3
7,7,7,5
8,8,8,8
9,9,9,1
10,10,10,2
11,11,11,12
12,12,12,4
13,13,13,4
14,14,14,9
15,15,15,3
16,16,16,5
17,17,17,8
18,18,18,1
19,19,19,2
20,20,2,7
21,21,21,4
22,21,21,5
23,21,21,1
24,21,21,2
25,21,21,9
26,21,21,7
27,22,22,7
28,22,22,12
29,22,22,18
30,23,23,4
31,23,23,5
32,23,23,1
33,23,23,2
34,23,23,9
35,23,23,7
36,24,24,5
37,24,24,1
38,24,24,2
39,24,24,9
40,24,24,7
41,25,25,9
42,25,25,1
43,25,25,3
44,25,25,4
45,25,25,1
46,26,26,1
47,26,26,9
48,26,26,1
49,26,26,4
50,26,26,5
51,27,27,5
52,27,27,4
53,27,27,1
54,27,27,9
55,27,27,7
56,28,28,8
57,28,28,1
58,28,28,9
59,28,28,4
60,29,29,5
61,29,29,1
62,29,29,9
63,29,29,4
64,2,2,2
65,1,1,11
66,2,2,2
67,3,3,5
68,4,4,10
69,6,6,2
70, 6,6,11
71,11,11,2
72,10,10,11
73,11,11,2
74,12,12,5
75,13,13,10
76,15,15,2
77,15,15,11
78,19,19,11
79,20,2,2
