toepassingID,toepassing,productID
1,Loophulpmiddel,1
2,Robot,2
3,Automatisering,10
4,Robot,3
5,Dwaal- en valpreventie,4
6,Dwaal- en valpreventie,5
7,Automatisering,6
8,Medicijnen,7
9,Alarm,8
10,Robot,9
11,Mobiliteit,11
12,Medicijnen,12
13,Automatisering,13
14,Badkamer,14
15,Mobiliteit,15
16,Communicatie,16
17,Mobiliteit,17
18,Medicijnen,18
19,Automatisering,19
20,Badkamer,20
21,Mobiliteit,21
22,Gezondheid,22
23,Veiligheid,23
24,Keuken,24
25,Mobiliteit,25
26,Gezondheid,26
27,Badkamer,27
28,Gezondheid,28
29,Badkamer,29
30,Mobiliteit,30
31,Gezondheid,31
32,Medicijnen,32
33,Veiligheid,33
34,Hulpmiddelen,34
35,Slaapkamer,35
36,Mobiliteit,36
37,Hulpmiddelen,37
38,Badkamer,38
39,Gezondheid,39
40,Veiligheid,40
41,Badkamer,41
42,Hulpmiddelen,42
43,Keuken,43
44,Mobiliteit,44
45,Medicijnen,45
46,Hulpmiddelen,46
47,Slaapkamer,47
48,Keuken,48
49,Woonkamer,49
50,Mobiliteit,5
51,Dagstructuur,2
52,Rust,2
53,Voeding,2
54,Eenzaamheid,2
55,Dwalen,4
56,Valpreventie,5
57,Medicijnen,7
58,Communicatie,9
59,Mobiliteit,1
60,Veiligheid,4
61,Entertainment,2
62,Therapieondersteuning,9
63,Sociale interactie,1
64,Zelfzorg,5
65,Mentale stimulatie,10
66,Activiteitentracking,3
67,Slaapverbetering,8
68,Gezondheidsmonitoring,6
69,Pijnmanagement,4
70,Gewichtsbeheersing,7
71,Hartslagmonitoring,3
72,Stressvermindering,10
74,Dieetbeheer,9
75,Medicijnen,8
